from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
112,112,,,9265583,9265532,1,
124,124,,,9265659,9265547,1,
124,124,,,9265662,9265551,1,
124,124,,,9265637,9265559,1,
124,124,,,9265669,9265559,1,
124,124,,,9265800,9265563,1,
124,124,,,9265800,9265568,1,
116,116,,,9265576,9265578,1,
124,124,,,9265576,9265578,1,
124,124,,,9265806,9265580,1,
116,116,,,9265691,9265583,1,
124,124,,,9265691,9265583,1,
124,124,,,9265693,9265583,1,
124,124,,,9265695,9265585,1,
116,116,,,9265649,9265588,1,
124,124,,,9265649,9265588,1,
124,124,,,9265698,9265588,1,
124,124,,,9265701,9265589,1,
124,124,,,9265702,9265590,1,
112,112,,,9265536,9265591,1,
124,124,,,9265704,9265592,1,
124,124,,,9265706,9265593,1,
124,124,,,9265709,9265596,1,
124,124,,,9265713,9265600,1,
124,124,,,9265715,9265602,1,
116,116,,,9265717,9265604,1,
124,124,,,9265717,9265604,1,
112,112,,,9265542,9265606,1,
124,124,,,9265719,9265607,1,
124,124,,,9265721,9265608,1,
116,116,,,9265723,9265610,1,
124,124,,,9265723,9265610,1,
116,116,,,9265727,9265613,1,
124,124,,,9265727,9265613,1,
116,116,,,9265728,9265614,1,
124,124,,,9265728,9265614,1,
124,124,,,9265730,9265616,1,
124,124,,,9265733,9265620,1,
124,124,,,9265823,9265622,1,
124,124,,,9265736,9265624,1,
124,124,,,9265739,9265628,1,
124,124,,,9265740,9265630,1,
124,124,,,9265741,9265631,1,
124,124,,,9265667,9265635,1,
116,116,,,9265668,9265639,1,
124,124,,,9265668,9265639,1,
124,124,,,9265674,9265641,1,
124,124,,,9265807,9265647,1,
131,131,,,9265807,9265647,1,
124,124,,,9265698,9265649,1,
131,131,,,9265698,9265649,1,
124,124,,,9265769,9265649,1,
116,116,,,9265725,9265657,1,
124,124,,,9265725,9265657,1,
124,124,,,9265740,9265659,1,
131,131,,,9265740,9265659,1,
131,131,,,9265826,9265659,1,
124,124,,,9265550,9265661,1,
116,116,,,9265633,9265663,1,
124,124,,,9265633,9265663,1,
116,116,,,9265554,9265664,1,
124,124,,,9265554,9265664,1,
116,116,,,9265556,9265666,1,
124,124,,,9265556,9265666,1,
124,124,,,9265558,9265670,1,
116,116,,,9265560,9265672,1,
124,124,,,9265560,9265672,1,
124,124,,,9265562,9265673,1,
124,124,,,9265566,9265675,1,
124,124,,,9265569,9265677,1,
124,124,,,9265570,9265679,1,
124,124,,,9265803,9265680,1,
131,131,,,9265803,9265680,1,
124,124,,,9265831,9265680,1,
140,140,,,9265831,9265680,1,
124,124,,,9265572,9265681,1,
124,124,,,9265575,9265684,1,
116,116,,,9265576,9265685,1,
124,124,,,9265576,9265685,1,
124,124,,,9265577,9265686,1,
140,140,,,9265833,9265687,1,
124,124,,,9265579,9265688,1,
140,140,,,9265833,9265689,1,
124,124,,,9265581,9265690,1,
124,124,,,9265582,9265692,1,
116,116,,,9265584,9265694,1,
124,124,,,9265584,9265694,1,
116,116,,,9265586,9265696,1,
124,124,,,9265586,9265696,1,
108,108,,,9265534,9265697,1,
131,131,,,9265812,9265701,1,
124,124,,,9265772,9265702,1,
124,124,,,9265587,9265703,1,
124,124,,,9265774,9265706,1,
131,131,,,9265813,9265706,1,
124,124,,,9265776,9265709,1,
131,131,,,9265815,9265711,1,
124,124,,,9265595,9265712,1,
124,124,,,9265778,9265713,1,
124,124,,,9265779,9265715,1,
131,131,,,9265816,9265715,1,
124,124,,,9265597,9265716,1,
124,124,,,9265782,9265719,1,
140,140,,,9265837,9265719,1,
131,131,,,9265818,9265721,1,
124,124,,,9265603,9265722,1,
124,124,,,9265606,9265722,1,
124,124,,,9265609,9265724,1,
124,124,,,9265612,9265726,1,
131,131,,,9265820,9265728,1,
140,140,,,9265839,9265728,1,
124,124,,,9265615,9265729,1,
124,124,,,9265617,9265731,1,
124,124,,,9265619,9265732,1,
124,124,,,9265790,9265733,1,
124,124,,,9265621,9265734,1,
124,124,,,9265623,9265735,1,
140,140,,,9265841,9265736,1,
124,124,,,9265625,9265737,1,
124,124,,,9265627,9265738,1,
124,124,,,9265795,9265739,1,
124,124,,,9265796,9265740,1,
124,124,,,9265632,9265742,1,
124,124,,,9265798,9265742,1,
124,124,,,9265670,9265753,1,
124,124,,,9265673,9265754,1,
124,124,,,9265675,9265755,1,
124,124,,,9265677,9265757,1,
124,124,,,9265681,9265759,1,
124,124,,,9265684,9265761,1,
124,124,,,9265688,9265763,1,
124,124,,,9265692,9265765,1,
124,124,,,9265597,9265781,1,
124,124,,,9265606,9265783,1,
124,124,,,9265729,9265788,1,
124,124,,,9265732,9265789,1,
124,124,,,9265735,9265792,1,
124,124,,,9265741,9265797,1,
131,131,,,9265664,9265799,1,
131,131,,,9265670,9265801,1,
131,131,,,9265640,9265802,1,
131,131,,,9265677,9265804,1,
131,131,,,9265684,9265805,1,
124,124,,,9265692,9265808,1,
131,131,,,9265692,9265808,1,
124,124,,,9265697,9265810,1,
131,131,,,9265697,9265810,1,
124,124,,,9265597,9265817,1,
131,131,,,9265722,9265819,1,
131,131,,,9265734,9265822,1,
140,140,,,9265664,9265828,1,
140,140,,,9265673,9265829,1,
140,140,,,9265697,9265834,1,
140,140,,,9265700,9265834,1,
140,140,,,9265722,9265838,1,
140,140,,,9265734,9265840,1,
74,74,,,9266216,9265995,1,
74,74,,,9266218,9265996,1,
74,74,,,9266220,9266001,1,
74,74,,,9266469,9266001,1,
74,74,,,9266226,9266003,1,
74,74,,,9266233,9266008,1,
74,74,,,9266235,9266008,1,
74,74,,,9266473,9266008,1,
68,68,,,9266113,9266011,1,
68,68,,,9266126,9266012,1,
68,68,,,9266128,9266014,1,
68,68,,,9266253,9266015,1,
68,68,,,9266257,9266018,1,
74,74,,,9266212,9266031,1,
74,74,,,9266276,9266033,1,
74,74,,,9266279,9266034,1,
62,62,,,9266032,9266035,1,
68,68,,,9266294,9266037,1,
68,68,,,9266297,9266039,1,
20,20,,,9266044,9266045,1,
11,11,,,9266045,9266046,1,
18,18,,,9266045,9266046,1,
